website,timestamp,industry,company_name,about_us,headquarters,employee_range,employee_profile,year-founded,locations,specialties,what_they_do,capitaliq_employee
https://www.63moons.com/,2022-02-01 11:23:01.206016,Information Technology &amp; Services,63 moons technologies limited,"63 Moons Technologies Limited, is a world leader in providing next-generation technology ventures, innovations, platforms, and solutions for creating digital markets and marketplaces that enable price discovery and transaction efficiencies across industry segments. Having a genesis of the IP driven culture and we have always been working towards providing technology solutions, building user-friendly financial platforms, and creating digital marketplaces in India and abroad, thus taking India to the global markets.",,"501-1,000",543,1995,,"Innovation
Technology
Entrepreneurship
and Startups","{'Engineering': '183', 'Information Technology': '95', 'Business Development': '56', 'Accounting': '28', 'Quality Assurance': '28', 'Research': '28', 'Program and Project Management': '24', 'Sales': '21', 'Administrative': '18', 'Support': '16', 'Human Resources': '14', 'Marketing': '12', 'Media and Communication': '12', 'Arts and Design': '10', 'Operations': '8'}",725
http://www.6dglobal.com/,2022-02-01 11:23:23.794763,Information Technology &amp; Services,"6D Global Technologies, Inc.","6D Global Technologies, Inc. is a premier digital experience solutions provider. Our services and products allow our customers to create remarkable digital experiences across marketing channels and devices, optimize and measure it, and achieve greater performance, return, and success. We help our customers stay relevant in the digital world.  At 6D Global, we strive to create remarkable digital experiences that bring a promise of something more, something that captures the spirit, passion and expertise of our customers. Something that brings their ideas and services to life with the sole purpose of creating a connection. A real connection with their customers. One that fundamentally changes the way people live, work, and play. One that achieves what our clients set out in this world to do. 6D Global.Making Digital More Human™","Pleasanton, CA",51-200,26,2004,3,"Digital Marketing Solutions
Web Experience
Analytics
Mobile Applications
Marketing
Training
Systems Integrations
Content Management Solutions
Marketing
Creative
and Web Content Management","{'Information Technology': '4', 'Administrative': '4', 'Engineering': '4', 'Business Development': '3', 'Consulting': '3', 'Human Resources': '2', 'Media and Communication': '2', 'Accounting': '1', 'Finance': '1', 'Marketing': '1', 'Operations': '1', 'Program and Project Management': '1', 'Quality Assurance': '1', 'Research': '1', 'Sales': '1'}",104
https://www.7digital.com/,2022-02-01 11:23:50.327313,Music,7digital Group plc,"7digital is the global leader in B2B end-to-end digital music solutions. The core of our business is the provision of robust and scalable technical infrastructure and extensive global music rights used to create music streaming and radio services for a diverse range of customers – including consumer brands, mobile carriers, broadcasters, automotive systems, record labels and retailers. 7digital also offers radio production and music curation services, editorial strategy and content management expertise.7digital fosters industry growth and innovation by simplifying access to music for clients such as Onkyo and TikTok (formerly musical.ly). From years of being the largest independent producer of programming for the BBC and powering services for partners like Global Radio and Fender, 7digital is perfectly positioned to lead innovation at the intersection of digital music and next-generation radio services.",,51-200,68,2004,,"Digital Music Services
Download Stores
Brand Campaigns
Streaming Services
B2B Music Services
Mobile Apps
Bespoke Music Solutions
Radio Services
Music Licensing
Radio Production
Enhanced Metadata
Hi-Res Audio
Curation
Consultancy
and Data Analytics",,57
https://www.8x8.com/,2022-02-01 11:24:14.297822,Information Technology &amp; Services,"8x8, Inc.","8x8, Inc. (NYSE: EGHT) is transforming the future of business communications as a leading Software-as-a-Service provider of voice, video, chat, contact center and enterprise-class API solutions powered by one global cloud communications platform. 8x8 empowers workforces worldwide to connect individuals and teams so they can collaborate faster and work smarter. Real-time business analytics and intelligence provide businesses unique insights across all interactions and channels so they can delight end-customers and accelerate their business.","Campbell, CA","1,001-5,000",2139,,5,"VoIP business phone service
hosted VoIP
Small business phone systems
web conferencing
hosted PBX
virtual contact center
virtual call center
hosted call center
enterprise global communications
business phone systems
unified communications
team collaboration
Enterprise Engagement Management
customer experience
employee experience
video conferencing
contact center
and voip",,1696
https://www.a10networks.com/,2022-02-01 11:26:59.290674,Computer Networking,"A10 Networks, Inc.","A10 Networks (NYSE: ATEN) enables service providers, cloud providers and enterprises to ensure their 5G networks and multi-cloud applications are secure. With advanced analytics, machine learning and intelligent automation, business-critical applications are protected, reliable and always available. Founded in 2004, A10 Networks is based in San Jose, Calif. and serves customers in 117 countries worldwide. For more information, visit: www.a10networks.com and @A10Networks.","San Jose, California","501-1,000",721,2004,,"Application Delivery Controllers
Threat Protection System
Carrier-Grade Networking
Cloud and Virtualization
Network Management Solution
Security
DDoS
Sicherheit
Encrypted Traffic Inspection
and Verschlüsselung",,740
http://www.aaatechnologies.co.in,2022-02-01 11:32:34.678307,Computer &amp; Network Security,AAA Technologies Limited,"AAA Technologies is a Premier Independent Auditing and Consulting Company in the area of IS Audit, Information Security, IT Assurance & compliance, IT Governance and rendering these services since the year 2000.To strengthen the internal processes, AAA Technologies have got ISO 9001:2008 Certified. The Company also got itself ISO 27001:2005 Certified as it deals with confidential information of the clients.The Professionals from AAA Technologies are actively and extensively associated with various International professional bodies in the area of Information Security and IT Governance like Information Systems Audit and Control Association (ISACA).As a testimonial to our expertise, following regulatory bodies and prominent organizations have chosen to confer unto us empanelment: # CERT-In (Government of India) as ‘Information Security Auditing Organization’ for carrying out IT Security Audits #Controller of Certifying Authorities under IT Act, 2000 to audit PKI #Reserve Bank of India for auditing of Network and IT System #Haryana State Electronics Development Corporation Limited (A State Government Undertaking) as strategic / channel partners for IT Application Testing & Security Audit#Associate Consultant to British Standards Institution and#Empanelled “Trading System Auditor” with MCX-SX","Mumbai, Maharashtra",51-200,44,2000,,"IS Audit
Information Security
IT Assurance
and IT Governance","{'Information Technology': '32', 'Business Development': '5', 'Engineering': '5', 'Sales': '3', 'Operations': '2', 'Education': '2', 'Accounting': '1', 'Healthcare Services': '1', 'Legal': '1', 'Quality Assurance': '1', 'Real Estate': '1', 'Research': '1', 'Community and Social Services': '1', 'Consulting': '1'}",63
https://www.aamratechnologies.com/,2022-02-01 11:33:10.290295,Information Technology &amp; Services,aamra technologies limited,"aamra is a family of businesses focused towards participating in the modernization of Bangladesh by providing technology driven solutions. aamra holds the distribution and marketing rights of a number of world renowned, technology driven, products and solutions in ICT, Textile & Apparels, Lifestyle and Food & Beverage.aamra started its journey in 1985 as Texas Group of Companies. The Company had taken on various value-added roles and had stakes in a cross-section of businesses. The group, in order to better reflect its corporate philosophy, principals, core values and identity changed its name to ‘aamra’ in 2008. Textile & Apparels - The flagship of aamra companies, aamra resources has established itself as a market leader and one of the leading indenting houses in Bangladesh playing a critical role in the fields of apparel and textiles. Additionally, aamra is the pioneer of computerized embroidery and CAD/CAM in garments sector in Bangladesh. Presently aamra has three separate concerns contributing to this high yielding sector of our economy. Information Technology - aamra is a pioneer in the Information and Communication Technology industry of Bangladesh, having launched its computer and network services back in 1987. The IT wing address all aspects of a product/project development lifecycle, ranging from preliminary analysis and design to hardware and software specification, project implementation, and training, local and International IP Capacity transmission. Presently aamra has 7 independent concerns in the IT industry. Lifestyle - aamra's corporate fitness centers in Dhaka and Chittagong are equipped with State-of-the-Art equipment with the aim to enhance the wellness levels of corporate Bangladesh. aamra believes that to succeed, corporate Bangladesh needs highly trained human resources. Food & Beverage: aamra presents UMAI , a contemporary Japanese cuisine restaurant. We brought the franchisee of Pastamania and Gelatofix in Bangladesh","Dhaka, Dhaka","501-1,000",130,1985,,"IT Communications
Infrastructure
System Integration
IP Transmission
Professional Development
Digital Marketing
Social Media Marketing
Website Development
Textile & Apparel Machinery
CAD/CAM
ETP Solution
DIstribution
and Virtual Office Suite",,126
https://www.aartidrugs.co.in/,2022-02-01 11:33:45.440371,Pharmaceuticals,Aarti Drugs Limited,"Aarti Drugs Limited is a pharmaceuticals company based out of Mumbai, Maharashtra, India.","Mumbai, Maharashtra",201-500,446,,,,"{'Operations': '118', 'Quality Assurance': '65', 'Engineering': '46', 'Research': '37', 'Business Development': '30', 'Information Technology': '18', 'Sales': '17', 'Administrative': '14', 'Military and Protective Services': '11', 'Marketing': '9', 'Human Resources': '8', 'Purchasing': '8', 'Accounting': '7', 'Healthcare Services': '7', 'Education': '7'}",1620
https://www.abcmultiactive.com/,2022-02-01 11:36:41.267617,Information Technology &amp; Services,abc Multiactive Limited,"(Order routing, Credit control, Transaction settlement and On-line trading) is abc Multiactive's award-winning trading software package. OCTO STP is the most advanced and widely used solution for front and back-office trading in leading brokerages and securities divisions of local and international banks in Hong Kong.","Hong Kong, HK",Nov-50,15,1978,,,,38
https://www.abcellera.com/,2022-02-01 11:37:07.661300,Biotechnology,AbCellera Biologics Inc.,"AbCellera is a technology company that searches, decodes, and analyzes natural immune systems to find antibodies that its partners can develop into drugs to prevent and treat disease. Its full-stack, AI-powered drug discovery platform integrates modern technologies from engineering, microfluidics, single-cell analysis, high-throughput genomics, machine learning, and hyper-scale data science. We partner with drug developers of all sizes, from large pharmaceutical to small biotechnology companies, empowering them to move quickly, reduce costs, and tackle the toughest problems in drug development.","Vancouver, British Columbia",201-500,300,2012,,"Antibody Discovery
Cell Culture
Antibody Therapies
Protein Analysis
Microfluidic Single Cell Analysis
Single Cell Genomics
Monoclonal Antibody Discovery
Cell Enrichment
Cell Screening
Cell Recovery
and Protein engineering",,360
http://www.abmindia.com,2022-02-01 11:39:54.467179,Information Technology &amp; Services,ABM Knowledgeware Limited,"ABM is a frontrunner in enabling e-government in India with several successfully sustained projects. ABM’s various e-governance solutions delivered 40+ million Citizen Services last year compared to 4.2 Million in 2010 and growing. Several states have selected ABM for the state-wide rollout of crucial citizen-facing projects where we competed with reputed MNCs and Indian IT firms.We are in this business for the past 20+ years and are one of the very few private sector companies with a long and proven track record. Several states have selected ABM for a state-wide rollout of crucial citizen-facing projects where we have competed with reputed MNCs and Indian IT firms. We are owners of several trademarks and re-usable software frameworks in the e-governance segment. Our key offerings are e-Municipality software, SAP Services, Cyber Security, Smart Water Management, CRM/CFC, Smart City Solution, Accrual Based Double Entry Accounting, and Tax Reforms Solution. We are category leaders in e-Municipality and  play a vital role in the Smart City initiative of the Govt. of India. Our Projects are quoted as exemplary case studies in various prestigious journals & international research reports. We have bagged awards from credible international organizations, central/state governments, Industry associations and reputed media publications. While e-Governance has attracted a lot of focus from the IT industry in last couple of years, ABM has been working in this sector with a sharp focus, since 1998. Success of e-Government projects depends not only on the technological skills but also in the in-depth knowledge of the Government domain. ABM is one of the few companies in India which possesses a blend of both these skills. E-Government projects have the capacity to transform the functioning of the Govt. departments provided sustainable Business Process Re-engineering (BPR) is carried out. ABM has successfully demonstrated this in most.","Mumbai, Maharashtra","501-1,000",962,1993,,"ERP
CRM
e-Governance
IT Services
D&B rating of 5A2
D&B D-U-N-S® Number 91-900-9449
eGovernance
eMunicipality
e-Governance solutions in India
e-Municipality solutions in India
smart city solutions
CMMI Level 5
ISO 27001:2013 
ISO 9001 : 2015
and ISO 20000-1:2011",,451
https://www.absci.com/,2022-02-01 11:42:51.665724,Biotechnology,Absci Corporation,"Absci is the drug and target discovery company harnessing deep learning AI and synthetic biology to expand the therapeutic potential of proteins. We built our Integrated Drug Creation™ Platform to identify novel drug targets, discover optimal biotherapeutic candidates, and generate the cell lines to manufacture them in a single efficient process. Biotech and pharma innovators partner with us to create the next generation of protein-based drugs, including those that may be impossible to make with other technologies. Our goal is to enable the development of better medicines by Translating Ideas into Drugs™. For more information visit www.absci.com.","Vancouver, Washington",201-500,204,2011,,,,207
https://www.absolute.com/,2022-02-01 11:43:12.921162,Computer &amp; Network Security,Absolute Software Corporation,"Absolute provides endpoint visibility and control to help self-healing endpoint security and always-connected IT asset management to protect devices, data, applications and users — on and off the corporate network.Bridging the gap between security and IT operations, only Absolute gives enterprises visibility they can act on to protect every endpoint, remediate vulnerabilities, and ensure compliance in the face of insider and external threats. Absolute’s patented Persistence technology is already embedded in the firmware of PC and mobile devices and trusted by over 12,000 customers worldwide. Headquartered in Vancouver, Canada, our regional headquarters are located in Austin, Texas, San Jose, California, Ho Chi Minh City, Vietnam and Reading, England.For the latest information, visit www.absolute.com and follow us on Twitter at @absolutecorp","Vancouver, British Columbia",201-500,682,1993,4,"Endpoint Security
Endpoint Visibility
Self-healing Endpoint
Data Risk Management
IT Asset Management
Enterprise Resiliency
Persistence
and cybersecurity",,530
https://athc.com/,2022-02-01 11:44:18.952924,Venture Capital &amp; Private Equity,Accelerated Technologies Holding Corp.,"Accelerated Technologies Holding Corp. (stock symbol ATHC) is a full-service end-to-end business solution and Technology Company that specializes in cloud-based disruptive technologies. The Company provides consulting and enterprise-level technology services. In addition, ATHC is developing its own disruptive technology products in the sectors of artificial social realities, short-term alternative funding platforms, electronic payment solutions and Blockchain technologies focused on social engagement, sports, entertainment, and content creation.","New York, New York",02-Oct,6,2005,,"Merchant Cash Advance
Reverse Merging
Data Visualization
Financial Services
Investment
Investing
Social Media
Brokerage
Blockchain Technology
ICO
Cryptocurrency
Teamwork
Working with Investors
Social Networking
Alternative Lending
Entrepreneurship
Consulting
Sales
Marketing
Business
Payment Processing
Disruptive Technology
Equity
and investment banking","{'Business Development': '3', 'Information Technology': '1', 'Administrative': '1'}",25
https://www.acceleware.com/,2022-02-01 11:44:47.419884,Oil &amp; Energy,Acceleware Ltd.,"Acceleware is an innovator of clean-tech enhanced heavy oil recovery technology and a developer of software solutions for the oil industry.We are comprised of two business units: Radio Frequency (RF) Heating; and Seismic Imaging Software.RF Heating:Our low-cost, low-carbon production technologies for heavy oil and oil sands are materially different from any other innovation on the market today. RF XL and Modular RF use no water, require no solvent, have a small physical footprint, can be redeployed from site to site, and can be adapted to a multitude of reservoir types, while greatly reducing greenhouse gas emissions (GHGs).Seismic Imaging Software:Our seismic imaging software solutions are state of the art for high fidelity imaging, providing the most accurate and advanced imaging available for oil exploration in complex geologies. We offer both off-the-shelf software via our network of distributors, as well as custom seismic software solutions tailored to meet the specific needs of our clients.","Calgary, Alberta",Nov-50,25,2004,,"Electromagnetics
Seismic
FDTD
Oil & Gas
RF Heating
and Seismic Imaging",,19
https://w3.accelya.com/,2022-02-01 11:45:08.722570,Information Technology &amp; Services,Accelya Solutions India Limited,"Accelya is a leading global technology and service provider to the air transport industry, delivering innovative change at speed and scale.  Our market-leading Passenger Cargo, and Industry platforms support airline retailing from offer to settlement.  For more than 40 years, we’ve been the industry’s partner for change, simplifying airline financial and commercial processes. As a result, we're always driving the airline industry forward, from partnering with IATA on industry-wide initiatives to creating strategic solutions that simplify airline processes.We’re proudly putting control back in the hands of airlines so they can move further, faster.",,"1,001-5,000",1907,1976,11,"Airline Financial Solutions
Airline Commercial Solutions
Passenger Revenue Accounting
Cargo Revenue Accounting
Payments Management
Airline Cost & Billing Management
Airline Revenue Assurance
Airline Revenue Management
Agency Incentive Management
Airline Sales Intelligence
Analytics & Consulting
Air Cargo Management Solutions
Merchandising
and NDC",,2500
https://www.accenture.com/us-en,2022-02-01 11:45:37.773737,Information Technology &amp; Services,Accenture plc,"Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.",,"10,001+",519349,,70,"Management Consulting
Systems Integration and Technology
Business Process Outsourcing
and Application and Infrastructure Outsourcing",,624000
https://www.access-company.com/,2022-02-01 11:48:48.521926,Information Technology &amp; Services,"Access Co., Ltd.",Software solution for WebBrowser / Multimedia / IoT / Digital Publishing.Web technology specialist.,"Chiyodaku, Tokyo","501-1,000",25,,,,"{'Business Development': '5', 'Engineering': '5', 'Information Technology': '2', 'Program and Project Management': '2', 'Legal': '1', 'Marketing': '1', 'Military and Protective Services': '1', 'Operations': '1', 'Administrative': '1', 'Quality Assurance': '1', 'Sales': '1'}",774
https://www.accessintelligence.com/,2022-02-01 11:49:16.975021,Computer Software,Access Intelligence Plc,"Powering a world of open and effective communication.Access Intelligence is a tech innovator, delivering high quality SaaS products that address the fundamental business needs of more than 3,000 global brands in the PR, communications and marketing industries. We help them understand what’s important to their customers and their brand as they navigate a constantly changing world of politics, news and social media. At the same time, we provide practical tools and information they can use to ensure their communications are relentlessly effective in building awareness, reputation and engagement.  Our evolving portfolio includes Vuelio, the platform that helps organisations make their stories matter, and ResponseSource, a network that connects media and influencers to the resources they need fast.  The world of communications, politics and influence is constantly changing, which is why we’re a first-mover, constantly investing in our people, products and services to keep our clients ahead.   Access Intelligence is listed on AIM and our technology is used by more than 3,000 global organisations every day, from blue-chip enterprises and communications agencies to public sector organisations and not-for-profits.","London, London",51-200,42,2003,,"SaaS Solutions
Communications Software
Software Development
PR Software
Stakeholder Management Software
and Public Affairs Software","{'Business Development': '10', 'Operations': '7', 'Information Technology': '5', 'Accounting': '4', 'Finance': '4', 'Marketing': '3', 'Media and Communication': '3', 'Sales': '3', 'Human Resources': '2', 'Quality Assurance': '2', 'Support': '2', 'Engineering': '2', 'Entrepreneurship': '2', 'Legal': '1', 'Administrative': '1'}",204
